id,title,author,published_date,categories,summary,page_count
18256673,Room For Love,UNK,UNK,UNK,"Jacquie Stuart has just turned 32 and she wants to do a major rewrite on her life. Her salary at a snarky film magazine barely covers her mortgage, her bratty sister has staked permanent claim to her couch, her best friend is in an obscenely happy marriage, and the only guy who really gets her is gay. Worst of all, she keeps falling for broke, self-involved commitment-phobes. In a moment of brilliance (and financial desperation) Jacquie takes a break from celebrity interviews to pitch a wild idea to an editor at a glossy women’s magazine: What would happen if she answered “Roommate Wanted” ads as a ploy to meet men? She would have intimate access to countless single guys. And as a potential roommate, she could unearth all the insights that usually stay buried on a first date: what books he reads, whether he cleans the bathroom sink, whose picture adorns his nightstand. Why, it’s untapped man market genius! And so it is that Jacquie embarks on a hunt designed to find way more than a place to hang her fabulous wardrobe. After colorful near-misses that bring her into the slums of the East Village, the brownstones of Brooklyn, and the dingier digs of the Upper East Side, Jacquie thinks she's finally found her dream guy and stuns her friends by moving out of her beloved apartment—and into his. Complications ensue that force her to question the shaky foundations of the bed she has made for herself. Jacquie’s been looking for love in other people’s homes all over town, but could the key to her happiness lie under her own roof?",0
18258915,Tree: A Life Story,Wayne Grady,2004-09,"{""/m/05h83"": ""Non-fiction""}","The book consists of five chapters: Birth, Taking Root, Growth, Maturity, and Death. The book opens with an Acknowledgments and an Introduction section, and closes with Selected References and Index. In the introduction, Suzuki describes the tree at his home and the series of ideas and events that led to the writing of the book. Along with the narrative of the tree's life, the book includes digressions into related topics, such as the history of botany and animal life in the forest. The tree written about in the book is not any specific Douglas-fir, but rather a generic one. The first chapter, Birth, begins with lightning starting a forest fire. The heat dries the Douglas-fir cones enough for their scales to spread and release winged seeds. Rain water transports one seed to a sunlit area with well-drained soil. Rodents and insectivores, whose food stashes were destroyed in the fire, eat truffles, which survived underground, and leave feces containing nitrogen-fixing bacteria in the soil. Following one dormant winter stage, the seed begins to germinate. In the second chapter, Taking Root, the embryonic root emerges through a small opening in the seed coat and through cell division, aided by plant hormones, it grows downward. Water and nutrients enter the root by osmosis and are transported to the seedling. A symbiotic relationship develops between the roots and the truffles. The roots give its extra sugars to the truffles, which it uses for energy, and the truffles assist the roots' uptake of water and nutrients. From excess starches and nutrients gathered by the root, a stem similar to the root but surrounded with thin, grayish bark, grows upwards. As the starch reserves are exhausted, its first needles sprout and photosynthesis begins. The tree anchors itself with a deep taproot and a web of roots begin to grow laterally. Some roots develop symbiotic relationships with near-by red alders which excel at nitrogen-fixation but lack the storage capacity that the Douglas-fir can offer. In early April of every year, a new layer grows between the bark and wood. As this new layer takes over transportation of fluids throughout the tree, last year's layer of cells die and form a ring in the wood. After about 20&nbsp;years, the tree begins to develop fertile cones. Buds form where auxins accumulate; these become either new needles or cones. The buds remain undifferentiated until July and continue to develop throughout the fall and winter. The next year, some buds will open in mid-May exposing a new set of needles. The cone buds on the lower end of the tree while other buds burst open in April releasing a mist of pollen. The cones at the top of the tree open their scales for wind-borne pollen to enter. Within the cone, the pollen fertilizes a seed which is released in September. The quantity and quality of seed production varies year-to-year but a particularly effective crop is produced about every 10&nbsp;years. Less than 0.1% of seeds survive Douglas Squirrels, Dark-eyed Juncos, and other seed-eating animals. Over the centuries, the tree grows thicker and taller as successive rings develop around its trunk and new buds grow on the branches. The tree becomes part of an old growth forest with a shaded and damp understory of broadleaf trees, shrubs, and ferns. In the canopy, a mat of dead needles and lichen accumulate on the wide upper branches. Exposed to light, air, and rain, the needles decompose and the mat becomes colonized by insects, fungus, and new plants. In the opening of the final chapter, Death, the tree is 550&nbsp;years old and stands 80&nbsp;meters (260&nbsp;feet) tall. Under the weight of too much snow accumulating on the canopy mat, a branch breaks off. Stresses from a long winter with a dry summer weaken the tree's immune system. The exposed area where the branch broke becomes infected with insects and fungus. Insect larvae eat the buds and the fungus spreads into the middle of the tree and down to the roots. With its vascular tissue system compromised, the tree diverts nutrients elsewhere, resulting in needles turning orange on the abandoned branches. Death takes years to occur as successive parts are slowly starved of nutrients. As a snag, it becomes home to a succession of animals, like woodpeckers, owls, squirrels, and bats. Eventually the roots rot enough that a rainstorm blows it down. Mosses and fungi grow on the deadfall, followed by colonies of termites, ants, and mites, which all help decompose the remaining wood.",0
18261326,"Ah, But Your Land Is Beautiful",Alan Paton,1983,"{""/m/02xlf"": ""Fiction""}","The novel has multiple storylines that alternate one another, all reminiscent of the true-life experiences faced by Alan Paton and his political colleagues in resisting National Party rule in South Africa during the 1950s. The book is divided into six parts: Part One: The Defiance Campaign Part Two: The Cleft Stick Part Three: Come Back, Africa Part Four: Death of a Traitor Part Five: The Holy Church of Zion Part Six: Into the Golden Age It was originally conceived as the first part of a trilogy.",0
18262197,Harvesting the Heart,Jodi Picoult,1993,"{""/m/05hgj"": ""Novel""}","Paige O'Toole only has a few memories of her mother, who left her when she was five, one of the most vivid being painting winged horses on the ceiling of her childhood home. After she grows up, marries Nicholas and gets pregnant, she starts to doubt her own maternal love and ability, based on her history and lack of maternal care as a child. After their son Max slips off the couch and gets a nosebleed, she, questioning her own competence as a mother, flees and goes on a journey of self-discovery. Paige revisits her childhood home in Chicago and tracks down her mother, now teaching children how to ride horses. She understands more about her childhood and her mother, and returns to her husband and child.",0
18267433,Blue Willow,Doris Gates,1940,"{""/m/0dwly"": ""Children's literature""}","Janey Larkin is the ten-year-old daughter of a migrant family in San Joaquin Valley, California, in the late 1930s when America is still suffering the effects of the Great Depression. Her most treasured possession is a Blue Willow plate that had once belonged to her great-great-grandmother. The picture of a bridge and a stream and a little house on the willow pattern plate represents the permanent home she dreams of. Janey can barely remember her old home, a farm in Texas, and now that her father is an itinerant worker she has no place to call her own and no lasting friends, as the family has to move constantly. Despite the grinding poverty, the family is close and loving, and fun is had, as when Janey and her friend Lupe attend the county fair, and when the family goes fishing beside the river. When Janey's stepmother falls sick, they have difficulty paying the rent. The rent-collector, Bounce Reyburn, is unsympathetic, and Janey is faced with having to sacrifice her one treasure.",0
18284065,Abbé Jules,Octave Mirbeau,1888-04,UNK,"After reading Dostoïevsky, Mirbeau plumbs the depths of psychology to describe a Catholic priest, Jules Dervelle, whose body and mind are rebelling against social oppression and the corruption of the Catholic Church. An indictment of the dreary materialism of provincial French society, where life is governed by cupidity and closed-mindedness, Octave Mirbeau’s 1888 novel, L'Abbé Jules also offers an indictment of the repressive institutions of family and religion. Object of his neighbors’ fearful curiosity, the novel’s eponymous hero, Jules Dervelle, constitutes, for the author, a vehicle for exploring the mysteries of the human psyche, the abuses of religion, and the human longing for the transcendental and the sacred. Returning to his native village of Viantais after a six-year absence in Paris, Jules revolutionizes his countrymen with his scandalous behavior and unorthodox religious views. Consenting to tutor his young nephew, Albert Dervelle – whom Mirbeau uses as an uncorrupted and innocent narrator – Jules exposes his ideas on sexuality, education, and man’s « quest for an ideal ». Retrospective narrative allows Mirbeau to recount Jules’s past, his introduction into the priesthood, and the scandalous behavior resulting in his subsequent exile to a remote parish. After his repatriation in Viantais, Jules installs himself in an overgrown country estate, where he delights in the unspoiled simplicity of nature. Wishing to instill in Albert the artlessness of animals, Jules instructs his young charge to throw away his books. He advises Albert that it is easier to « fabricate a Jesus or Mohammed » than it is to dismantle the adulterated social being that each individual has become so that can return to the original purity of his status as a “Nothing.” Jules is a self-contradictory and self-loathing character. He is a bibliomaniac who despises the artificiality of the knowledge found in books ; when he comes to finagle from Père Pamphile – an old Trinitarian monk, who is both a double and the opposite of Jules – money he needs for his library, Pamphile indignantly refuses. He is an enemy of Catholicism, but he yearns for an experience of the divine. Through Jules and Pamphile, two rich and complex characters, the author elaborates his evolving views on the social evils that pervert man's instincts, artistic sensibilities, and spiritual yearnings for the absolute. Robert Ziegler : « For the most part, the message of Mirbeau's novel is a negative one, aimed at exposing the imposture perpetuated by doctors, judges, educators and priests, demantling the symbolic systems that culture creates. Mirbeau's text designates literature as repository of meaning. »",0
18290415,The Wonderful Country,"Thomas C. Lea, III",1952,"{""/m/02xlf"": ""Fiction""}","Martin Brady, at age 14, flees to Mexico from Texas after he kills the man who murdered his father. Now, fourteen years later, in 1880s Mexico, he is called Martin Bredi. He is a hired gun for a rich Mexican rancher and Chihuahuan warlord, Cipriano Castro. Brady starts to feel like he would like to return to Texas. Castro send him north to Puerto, Texas, to guard a load of silver ore, with the intention of smuggling arms back to the Castros. When he gets to Texas he breaks his leg and has to stay put in the town while he heals. He is approached by the head of the Texas Ranger Division in Puerto about joining after the Captain confirms his identity and lets him know that he, Brady will not be prosecuted for killing his father's murderer. He also is enamored by the ranger captain's daughter, Louisa Rucker. After killing a man who injured a friend, he returns to Mexico again, and is sent on an impossible errand to deliver a load of gunpowder by General Marco Castro, the brother of Cipriano. The wagon blows up before it is delivered. After returning to Chihuahua, Cipriano Castro sends Brady on an errand to assassinate a rival Salcido, however the Castros are suspicious of him and have him followed. During his sojourn in Chihuahua, he meets an acquaintance from Puerto and learns that the man he killed was a criminal with a reward for his death. Wanted in the United States and now distrusted in Mexico, he makes his way back to Texas and on the way assists a lost column of Buffalo soldiers that is deep into Mexico fighting Apache Indians. Back in Texas Brady joins the Texas Rangers, as part of a deal for his being a wanted man, and helps them fight the Apaches back in Mexico. A crucial character to the story is Brady's horse, a black Andalusian stallion named Lágrimas (""tears"").",0
18294595,The Book of Air and Shadows,Michael Gruber,2007,"['Fiction', 'Large type books']","Set concurrently in the 1600's and the current century, the novel is an intriguing and complex thriller based around the mystery of William Shakespeare. Jake Mishkin, a lonely and troubled lapsed Catholic intellectual property lawyer (though he is generally assumed to be Jewish-American despite his Waffen SS Officer grandfather) teams up with a young man, Albert Crosetti, who has taken a job at an antiquarian bookstore in the hope of saving enough to fund his studies at NYU film school. Together they hunt for Shakespeare's elusive lost manuscript.",578
18301916,The Other Side,Jacqueline Woodson,2001,"{""/m/0dwly"": ""Children's literature""}","The narrator and protagonist of the story is Clover, a young African-American girl. She lives beside a fence which segregates her town. Her mother instructs her never to climb over to the other side. Then one summer, she notices a white girl on the other side of the fence. The girl seems to be very lonely and is even outside when it's raining. Clover decides to talk to the girl on the other side of the fence. Both girls aren't allowed to cross the fence, so they simply decide to sit on the fence together. First, Clover's friends won't let Annie, the girl from the other side, play with them but then all of the girls realize that the fence (a symbol for segregation) should not be there.",0
18302404,Genome,Sergey Lukyanenko,UNK,"{""/m/070yc"": ""Space opera"", ""/m/028v3"": ""Detective fiction"", ""/m/06n90"": ""Science Fiction""}","Alex Romanov is a pilot-spec, born on Earth, gets out of the hospital on the planet Mercury Bottom, where he spent six months after an accident. Alex meets Kim Ohara, a runaway fourteen-year-old girl, who is an unformed fighter-spec, escaped from her home on Eden. He invites the hungry girl to dine, but, during dinner, her metamorphosis kick in. Unfortunately, the process must take place in a hospital under the watchful eyes of qualified doctors, but Alex is out of money and does not know anyone on this planet. As a pilot-spec, Alex is psychologically incapable of not helping someone in his charge. He takes her to a cheap hotel (the Hilton) and tries to help her through the transformation. For this he needs medicine, but he has spent everything he had left on the hotel room. He uses the network terminal in the hotel to search for work. He surprisingly quickly locates a perfect and extremely attractive offer — the post of captain on a small but new ship Mirror with the right to choose his own crew. While Alex is skeptical that this is just too good to be true, he has no choice but to sign the contract. He gets his advance and uses the money to help Kim. During the metamorphosis, Kim reveals that she has a secret compartment in her body, containing a fairly large gel-crystal — one that is usually used in a supercomputer. The crystal costs a fortune, and the fact that a poor, hungry girl is carrying it around makes no sense at all. With Alex's help, Kim successfully goes through the metamorphosis overnight and is completely fine in the morning. She refuses to talk about herself or of how she got to the planet. She only confirms that she does not know anyone on the planet and has no job or identification. Taking command of his ship, Alex begins the process of hiring his new crew. He hires a Black-race doctor named Janet Ruelo from the quarantined planet Ebon, a spec with five specifications. Other crewmembers include a nineteen-year-old energetic-spec Paul Lurie and a navigator-natural Pak Generalov. Later, he hires a co-pilot, a spec named Hang Morrison. Instead of looking for a fighter-spec (the crew requirements are very specific in the contract), he decides to give Kim a try. However, this is problematic, given that she has no ID. In order to obtain one without contacting Eden, he has to bend the rules: Alex and Kim get temporarily married, Kim takes Alex's last name as her own, and gets a new ID as Kim Romanova. With his crew ready, Alex is ordered by the owner of the ship to take on several passengers and do whatever they ask. The passengers turn out to be two Czygu tourists, Zei-so and Sei-so, as well their guide-spec Danila C-third Shustov, an employee of the Sky Company, who are also the owners of the Mirror. Apparently, as Alex finds out, their job is to transport alien tourists to see Imperial planets. Unfortunately, the situation is not very pleasant. One of Janet Ruelo's specifications is as an executioner-spec, meaning she specialized in killing aliens and utterly hates them. Kim becomes hysterical, after finding out that one of their stops is the planet Eden, as she is afraid to return to her homeworld. Alex finds out that Pak Generalov pathologically hates clones and has a hard time accepting C-third on their ship. Alex has to convince Kim, demand Janet to give him a warrior's oath not to harm the Czygu, and reason with Generalov. There is another problem, however. After a genetic test, Alex finds out that Kim is not only a figher-spec, but also a hetaera-spec. The latter specification demands the love of her object of desire, who turns out to be Alex. But Alex, being a pilot-spec, is physically incapable of loving Kim. And Kim physically cannot stop loving Alex until he returns her feelings. The tour almost immediately results in a disaster. While entering the hyperchannel, another ship nearly collides with the Mirror which would have forced the ship to end up in Brauni space. Alex's Czygu passengers would have almost certainly been taken prisoner. Fortunately, with Janet's quick thinking, they were able to avoid the collision. During the flight, Kim reveals to Alex the secret of her gel-crystal. Apparently, the crystal contains an encoded personality of a friend of Kim's, an adolescent boy named Edgar. Edgar explained to Kim that his personality was artificially created to become a unique spec — a genetic constructor, a spec creator. Growing up within the crystal's virtual world, Edgar managed to gain access to the public network, meeting Kim. He then programmed his lab's robot to give the crystal to Kim and destroy the lab, so that everyone thinks that Edgar's crystal perished with it. Kim have long protected Edgar's secret, carrying his crystal inside her body. Unfortunately, her mother accidentally discovered the crystal and called the police. Kim and Edgar were forced to flee. Alex, connecting the crystal to his personal computer, enters Edgar's virtual world and meets the boy. While Edgar confirms Kim's story, Alex sees certain inconsistencies in his virtual surroundings and the boy's behavior. Alex asks Edgar for a favor — to create a substance which would temporarily disable a spec's emotional modifications. Alex wants to give this substance to Kim to ""cure"" her of her love for him. While no one believes that such a thing is possible, Alex finds out that Edgar is truly a genius. He gives Alex a formula to synthesize the blocker, and Alex orders it from a pharmaceutical lab on the planet New Ukraine. However, before risking giving an untested substance to Kim, Alex takes a few drops of it himself. The effect is nearly immediate — Alex loses the pleasurable feeling every pilot-spec gets during the neural connection with the ship. Also, he understands that this feeling, like the usual pleasures of sex — are simply shadows of the true feeling which he has been denied. Still not understanding what it means to love, Alex begins to feel sorrow and the feeling of enormous loss. Before landing on the planet Zodiac, the crew finds out that a crime has taken place on board the ship — Zei-so has been brutally murdered. The ship remains in orbit and receives two visitors: a detective-spec named Peter C-forty-fourth Valk, preferring the name Sherlock Holmes, and his assistant, a natural forensics expert Jenny Watson. While the crime itself is horrendous, the consequences are even more so. Apparently, Zei-so was an heiress to the Czygu throne. As such, the Czygu are preparing for an all-out war with the Empire. Since the forces are about even, the war is bound to devastate both species, and the victor will be too weak to stand against the other races, who will not miss their chance to gain extra territory. This has already happened to the once-mighty Taii, who are now a dying race. The Empire, faced with such prospects, will be forced to lift the quarantine of Ebon. The military power of Ebon is so great, that the Czygu will have no chance, but the other races will forget their differences and united against humanity. There is only one way of preventing the war — find the murderer within two days and show the Czygu undeniable proof that justice has been served. If Sei-so personally executes the killer, the war will be averted. Unfortunately, the murder was committed by a professional — no trace has been left in Zei-so's quarters. Also, every crew member had the opportunity and the motive to perform the deed. After further conversing with Edgar, Alex realizes who he really is. He is not an adolescent consciousness artificially grown in a gel-crystal. In fact, it is the consciousness of a long-dead legendary genetic constructor named Edward Garlitsky, who is credited with founding the science of specification. Garlitsky wanted to create a superhuman, who would unite all the enhancements from all specs. Unfortunately, his work was not only deemed unneeded, it was seen as dangerous. Garlitsky was fired and, at the Emperor's decree, his consciousness was copied onto a gel-crystal and his body destroyed, so he could continue working on specifications but under a watchful eye of the overseers. Unable to find another way out, Garlitsky saw his chance when he was requested to create a new secret agent specification. He made certain unnoticed alterations to the specification, like a hidden pouch in the stomach. This child turned out to be Kim Ohara. Garlitsky made contact with her, falsifying his identity, and convinced her to help him escape. His goal is to become a physical human again. When Alex claims he knows the identity of the killer, the detective-spec allows him to do whatever is necessary to reveal him or her. Using Edgar's blocker, Alex reveals the killer — an undercover agent-spec, pretending to be a member of the crew. The killer is apprehended and executed, although Sei-so is critically wounded in the process. Unfortunately, further investigation turns out to be fruitless, as everything points to people too powerful to accuse. The Sky Company is bankrupted, and the crew of the Mirror is fired. The body of the executed person is bought out by Kim, who plans to give it Edward ""Edgar"" Garlitsky. Alex begins to understand that the effect of Edgar's substance is not temporary, which means that he will retain the ability to love for a long time, possibly forever.",0
